Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack,Tfid,NF,norm,normR,sparcity,sz,nz,NonZeroCoeff,C,id
Logistic Lasso1.0,5:5,20,0.9405405405405404,0.03783783783783785,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108109,0.898595016095016,0.8677838827838829,0.8779314320870049,True,False,613933,982.8651993025287,0.001600932348159374,0.009988823647643095,68146563,680704,6.686397375609388e-05,1.0,Logistic Lasso1.05:5TrueFalse
Logistic Lasso1.0,8:10,20,0.9351351351351352,0.03128604568321682,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2765765765765766,0.2783783783783784,0.9157144244644244,0.8515935453435454,0.8761724422646149,True,False,1903287,1581.3117972114167,0.0008308320275457232,0.009551342464875736,211264857,2017863,7.846951090403076e-05,1.0,Logistic Lasso1.08:10TrueFalse
Logistic Lasso1.0,8:8,20,0.937837837837838,0.04530555301146003,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2801801801801801,0.26756756756756755,0.9222445609945612,0.8462519425019425,0.8752858888617403,True,False,655057,981.9439902560632,0.001499020681033961,0.009617758729668077,72711327,699320,0.00011083004990405415,1.0,Logistic Lasso1.08:8TrueFalse
Logistic Lasso2.0,10:15,20,0.937837837837838,0.03209281645145383,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2833333333333333,0.2581081081081081,0.8954197191697192,0.8618253968253968,0.8720480692338277,True,False,3739872,2269.129568799455,0.000606739901472418,0.009457687466453542,415125792,3926130,8.478899812613909e-05,0.5,Logistic Lasso2.010:15TrueFalse
Logistic Lasso1.0,15:15,20,0.927027027027027,0.03925902444955122,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2725225225225225,0.2905405405405405,0.9098755411255413,0.8504048729048728,0.8695630324454864,True,False,675859,959.8083141961212,0.0014201309950686773,0.009383640697272684,75020349,703964,0.00018206460223212242,1.0,Logistic Lasso1.015:15TrueFalse
Logistic Lasso2.0,4:6,20,0.933783783783784,0.04313753972841178,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.8987801087801086,0.8484665497900792,0.8681485442081429,True,False,1701196,1633.5948090025265,0.0009602625499957244,0.010077933724591722,188832756,1903044,4.270524971843339e-05,0.5,Logistic Lasso2.04:6TrueFalse
Logistic Lasso2.0,4:7,20,0.922972972972973,0.04380963534445224,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2743243243243243,0.2851351351351352,0.8956890331890331,0.8428489565989565,0.8602021870421049,True,False,2504443,1990.7526214977088,0.0007948883729826189,0.009999490167335872,277993173,2779790,3.316106615323247e-05,0.5,Logistic Lasso2.04:7TrueFalse
Logistic Lasso2.0,12:12,20,0.922972972972973,0.05003650967992869,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2702702702702703,0.2972972972972973,0.9058709857394068,0.8342715617715617,0.8565165303579627,True,False,669413,960.0348951991276,0.0014341443850046651,0.009436302826183214,74304843,701163,0.00018583445496278084,0.5,Logistic Lasso2.012:12TrueFalse
Logistic Lasso1.0,4:6,20,0.9243243243243244,0.057077600221467226,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.8744101731601731,0.8460809288750465,0.8556244147191366,True,False,1701196,1633.5948090025265,0.0009602625499957244,0.010077933724591722,188832756,1903044,2.6393196316003563e-05,1.0,Logistic Lasso1.04:6TrueFalse
Logistic Lasso0.3,5:5,20,0.9324324324324328,0.04481925392372163,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108109,0.9081392218892221,0.8197283272283272,0.8551735012493527,True,False,613933,982.8651993025287,0.001600932348159374,0.009988823647643095,68146563,680704,2.956348656938135e-05,3.333333333333333,Logistic Lasso0.35:5TrueFalse
Logistic Lasso5.0,4:7,20,0.9216216216216216,0.039072519715678274,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2743243243243243,0.2851351351351352,0.9002449919361684,0.8266653485403486,0.8527304034115181,True,False,2504443,1990.7526214977088,0.0007948883729826189,0.009999490167335872,277993173,2779790,0.00010499340571935555,0.2,Logistic Lasso5.04:7TrueFalse
Logistic Lasso1.0,10:15,20,0.9297297297297298,0.03666124315202848,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2833333333333333,0.2581081081081081,0.8857829670329671,0.84015873015873,0.8523794000117528,True,False,3739872,2269.129568799455,0.000606739901472418,0.009457687466453542,415125792,3926130,5.6271979361860514e-05,1.0,Logistic Lasso1.010:15TrueFalse
Logistic Lasso1.0,12:12,20,0.9202702702702704,0.05232016400704307,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.2702702702702703,0.2972972972972973,0.9070481419165632,0.8191916416916417,0.8504704169538602,True,False,669413,960.0348951991276,0.0014341443850046651,0.009436302826183214,74304843,701163,0.0001460234563714777,1.0,Logistic Lasso1.012:12TrueFalse
Logistic Lasso5.0,4:6,20,0.9270270270270272,0.04017856418194192,148,0.75,complex,02/02/2000,01/09/2019,minutes:speeches:statements,0.28243243243243243,0.2608108108108108,0.8898731823731824,0.8278346816582112,0.8496008271751979,True,False,1701196,1633.5948090025265,0.0009602625499957244,0.010077933724591722,188832756,1903044,0.0001345230061674257,0.2,Logistic Lasso5.04:6TrueFalse
