date,DFEDTARU
20100818,0.25
20100819,0.25
20100820,0.25
20100821,0.25
20100822,0.25
20100823,0.25
20100824,0.25
20100825,0.25
20100826,0.25
20100827,0.25
20100828,0.25
20100829,0.25
20100830,0.25
20100831,0.25
20100901,0.25
20100902,0.25
20100903,0.25
20100904,0.25
20100905,0.25
20100906,0.25
20100907,0.25
20100908,0.25
20100909,0.25
20100910,0.25
20100911,0.25
20100912,0.25
20100913,0.25
20100914,0.25
20100915,0.25
20100916,0.25
20100917,0.25
20100918,0.25
20100919,0.25
20100920,0.25
20100921,0.25
20100922,0.25
20100923,0.25
20100924,0.25
20100925,0.25
20100926,0.25
20100927,0.25
20100928,0.25
20100929,0.25
20100930,0.25
20101001,0.25
20101002,0.25
20101003,0.25
20101004,0.25
20101005,0.25
20101006,0.25
20101007,0.25
20101008,0.25
20101009,0.25
20101010,0.25
20101011,0.25
20101012,0.25
20101013,0.25
20101014,0.25
20101015,0.25
20101016,0.25
20101017,0.25
20101018,0.25
20101019,0.25
20101020,0.25
20101021,0.25
20101022,0.25
20101023,0.25
20101024,0.25
20101025,0.25
20101026,0.25
20101027,0.25
20101028,0.25
20101029,0.25
20101030,0.25
20101031,0.25
20101101,0.25
20101102,0.25
20101103,0.25
20101104,0.25
20101105,0.25
20101106,0.25
20101107,0.25
20101108,0.25
20101109,0.25
20101110,0.25
20101111,0.25
20101112,0.25
20101113,0.25
20101114,0.25
20101115,0.25
20101116,0.25
20101117,0.25
20101118,0.25
20101119,0.25
20101120,0.25
20101121,0.25
20101122,0.25
20101123,0.25
20101124,0.25
20101125,0.25
20101126,0.25
20101127,0.25
20101128,0.25
20101129,0.25
20101130,0.25
20101201,0.25
20101202,0.25
20101203,0.25
20101204,0.25
20101205,0.25
20101206,0.25
20101207,0.25
20101208,0.25
20101209,0.25
20101210,0.25
20101211,0.25
20101212,0.25
20101213,0.25
20101214,0.25
20101215,0.25
20101216,0.25
20101217,0.25
20101218,0.25
20101219,0.25
20101220,0.25
20101221,0.25
20101222,0.25
20101223,0.25
20101224,0.25
20101225,0.25
20101226,0.25
20101227,0.25
20101228,0.25
20101229,0.25
20101230,0.25
20101231,0.25
20110101,0.25
20110102,0.25
20110103,0.25
20110104,0.25
20110105,0.25
20110106,0.25
20110107,0.25
20110108,0.25
20110109,0.25
20110110,0.25
20110111,0.25
20110112,0.25
20110113,0.25
20110114,0.25
20110115,0.25
20110116,0.25
20110117,0.25
20110118,0.25
20110119,0.25
20110120,0.25
20110121,0.25
20110122,0.25
20110123,0.25
20110124,0.25
20110125,0.25
20110126,0.25
20110127,0.25
20110128,0.25
20110129,0.25
20110130,0.25
20110131,0.25
20110201,0.25
20110202,0.25
20110203,0.25
20110204,0.25
20110205,0.25
20110206,0.25
20110207,0.25
20110208,0.25
20110209,0.25
20110210,0.25
20110211,0.25
20110212,0.25
20110213,0.25
20110214,0.25
20110215,0.25
20110216,0.25
20110217,0.25
20110218,0.25
20110219,0.25
20110220,0.25
20110221,0.25
20110222,0.25
20110223,0.25
20110224,0.25
20110225,0.25
20110226,0.25
20110227,0.25
20110228,0.25
20110301,0.25
20110302,0.25
20110303,0.25
20110304,0.25
20110305,0.25
20110306,0.25
20110307,0.25
20110308,0.25
20110309,0.25
20110310,0.25
20110311,0.25
20110312,0.25
20110313,0.25
20110314,0.25
20110315,0.25
20110316,0.25
20110317,0.25
20110318,0.25
20110319,0.25
20110320,0.25
20110321,0.25
20110322,0.25
20110323,0.25
20110324,0.25
20110325,0.25
20110326,0.25
20110327,0.25
20110328,0.25
20110329,0.25
20110330,0.25
20110331,0.25
20110401,0.25
20110402,0.25
20110403,0.25
20110404,0.25
20110405,0.25
20110406,0.25
20110407,0.25
20110408,0.25
20110409,0.25
20110410,0.25
20110411,0.25
20110412,0.25
20110413,0.25
20110414,0.25
20110415,0.25
20110416,0.25
20110417,0.25
20110418,0.25
20110419,0.25
20110420,0.25
20110421,0.25
20110422,0.25
20110423,0.25
20110424,0.25
20110425,0.25
20110426,0.25
20110427,0.25
20110428,0.25
20110429,0.25
20110430,0.25
20110501,0.25
20110502,0.25
20110503,0.25
20110504,0.25
20110505,0.25
20110506,0.25
20110507,0.25
20110508,0.25
20110509,0.25
20110510,0.25
20110511,0.25
20110512,0.25
20110513,0.25
20110514,0.25
20110515,0.25
20110516,0.25
20110517,0.25
20110518,0.25
20110519,0.25
20110520,0.25
20110521,0.25
20110522,0.25
20110523,0.25
20110524,0.25
20110525,0.25
20110526,0.25
20110527,0.25
20110528,0.25
20110529,0.25
20110530,0.25
20110531,0.25
20110601,0.25
20110602,0.25
20110603,0.25
20110604,0.25
20110605,0.25
20110606,0.25
20110607,0.25
20110608,0.25
20110609,0.25
20110610,0.25
20110611,0.25
20110612,0.25
20110613,0.25
20110614,0.25
20110615,0.25
20110616,0.25
20110617,0.25
20110618,0.25
20110619,0.25
20110620,0.25
20110621,0.25
20110622,0.25
20110623,0.25
20110624,0.25
20110625,0.25
20110626,0.25
20110627,0.25
20110628,0.25
20110629,0.25
20110630,0.25
20110701,0.25
20110702,0.25
20110703,0.25
20110704,0.25
20110705,0.25
20110706,0.25
20110707,0.25
20110708,0.25
20110709,0.25
20110710,0.25
20110711,0.25
20110712,0.25
20110713,0.25
20110714,0.25
20110715,0.25
20110716,0.25
20110717,0.25
20110718,0.25
20110719,0.25
20110720,0.25
20110721,0.25
20110722,0.25
20110723,0.25
20110724,0.25
20110725,0.25
20110726,0.25
20110727,0.25
20110728,0.25
20110729,0.25
20110730,0.25
20110731,0.25
20110801,0.25
20110802,0.25
20110803,0.25
20110804,0.25
20110805,0.25
20110806,0.25
20110807,0.25
20110808,0.25
20110809,0.25
20110810,0.25
20110811,0.25
20110812,0.25
20110813,0.25
20110814,0.25
20110815,0.25
20110816,0.25
20110817,0.25
20110818,0.25
20110819,0.25
20110820,0.25
20110821,0.25
20110822,0.25
20110823,0.25
20110824,0.25
20110825,0.25
20110826,0.25
20110827,0.25
20110828,0.25
20110829,0.25
20110830,0.25
20110831,0.25
20110901,0.25
20110902,0.25
20110903,0.25
20110904,0.25
20110905,0.25
20110906,0.25
20110907,0.25
20110908,0.25
20110909,0.25
20110910,0.25
20110911,0.25
20110912,0.25
20110913,0.25
20110914,0.25
20110915,0.25
20110916,0.25
20110917,0.25
20110918,0.25
20110919,0.25
20110920,0.25
20110921,0.25
20110922,0.25
20110923,0.25
20110924,0.25
20110925,0.25
20110926,0.25
20110927,0.25
20110928,0.25
20110929,0.25
20110930,0.25
20111001,0.25
20111002,0.25
20111003,0.25
20111004,0.25
20111005,0.25
20111006,0.25
20111007,0.25
20111008,0.25
20111009,0.25
20111010,0.25
20111011,0.25
20111012,0.25
20111013,0.25
20111014,0.25
20111015,0.25
20111016,0.25
20111017,0.25
20111018,0.25
20111019,0.25
20111020,0.25
20111021,0.25
20111022,0.25
20111023,0.25
20111024,0.25
20111025,0.25
20111026,0.25
20111027,0.25
20111028,0.25
20111029,0.25
20111030,0.25
20111031,0.25
20111101,0.25
20111102,0.25
20111103,0.25
20111104,0.25
20111105,0.25
20111106,0.25
20111107,0.25
20111108,0.25
20111109,0.25
20111110,0.25
20111111,0.25
20111112,0.25
20111113,0.25
20111114,0.25
20111115,0.25
20111116,0.25
20111117,0.25
20111118,0.25
20111119,0.25
20111120,0.25
20111121,0.25
20111122,0.25
20111123,0.25
20111124,0.25
20111125,0.25
20111126,0.25
20111127,0.25
20111128,0.25
20111129,0.25
20111130,0.25
20111201,0.25
20111202,0.25
20111203,0.25
20111204,0.25
20111205,0.25
20111206,0.25
20111207,0.25
20111208,0.25
20111209,0.25
20111210,0.25
20111211,0.25
20111212,0.25
20111213,0.25
20111214,0.25
20111215,0.25
20111216,0.25
20111217,0.25
20111218,0.25
20111219,0.25
20111220,0.25
20111221,0.25
20111222,0.25
20111223,0.25
20111224,0.25
20111225,0.25
20111226,0.25
20111227,0.25
20111228,0.25
20111229,0.25
20111230,0.25
20111231,0.25
20120101,0.25
20120102,0.25
20120103,0.25
20120104,0.25
20120105,0.25
20120106,0.25
20120107,0.25
20120108,0.25
20120109,0.25
20120110,0.25
20120111,0.25
20120112,0.25
20120113,0.25
20120114,0.25
20120115,0.25
20120116,0.25
20120117,0.25
20120118,0.25
20120119,0.25
20120120,0.25
20120121,0.25
20120122,0.25
20120123,0.25
20120124,0.25
20120125,0.25
20120126,0.25
20120127,0.25
20120128,0.25
20120129,0.25
20120130,0.25
20120131,0.25
20120201,0.25
20120202,0.25
20120203,0.25
20120204,0.25
20120205,0.25
20120206,0.25
20120207,0.25
20120208,0.25
20120209,0.25
20120210,0.25
20120211,0.25
20120212,0.25
20120213,0.25
20120214,0.25
20120215,0.25
20120216,0.25
20120217,0.25
20120218,0.25
20120219,0.25
20120220,0.25
20120221,0.25
20120222,0.25
20120223,0.25
20120224,0.25
20120225,0.25
20120226,0.25
20120227,0.25
20120228,0.25
20120229,0.25
20120301,0.25
20120302,0.25
20120303,0.25
20120304,0.25
20120305,0.25
20120306,0.25
20120307,0.25
20120308,0.25
20120309,0.25
20120310,0.25
20120311,0.25
20120312,0.25
20120313,0.25
20120314,0.25
20120315,0.25
20120316,0.25
20120317,0.25
20120318,0.25
20120319,0.25
20120320,0.25
20120321,0.25
20120322,0.25
20120323,0.25
20120324,0.25
20120325,0.25
20120326,0.25
20120327,0.25
20120328,0.25
20120329,0.25
20120330,0.25
20120331,0.25
20120401,0.25
20120402,0.25
20120403,0.25
20120404,0.25
20120405,0.25
20120406,0.25
20120407,0.25
20120408,0.25
20120409,0.25
20120410,0.25
20120411,0.25
20120412,0.25
20120413,0.25
20120414,0.25
20120415,0.25
20120416,0.25
20120417,0.25
20120418,0.25
20120419,0.25
20120420,0.25
20120421,0.25
20120422,0.25
20120423,0.25
20120424,0.25
20120425,0.25
20120426,0.25
20120427,0.25
20120428,0.25
20120429,0.25
20120430,0.25
20120501,0.25
20120502,0.25
20120503,0.25
20120504,0.25
20120505,0.25
20120506,0.25
20120507,0.25
20120508,0.25
20120509,0.25
20120510,0.25
20120511,0.25
20120512,0.25
20120513,0.25
20120514,0.25
20120515,0.25
20120516,0.25
20120517,0.25
20120518,0.25
20120519,0.25
20120520,0.25
20120521,0.25
20120522,0.25
20120523,0.25
20120524,0.25
20120525,0.25
20120526,0.25
20120527,0.25
20120528,0.25
20120529,0.25
20120530,0.25
20120531,0.25
20120601,0.25
20120602,0.25
20120603,0.25
20120604,0.25
20120605,0.25
20120606,0.25
20120607,0.25
20120608,0.25
20120609,0.25
20120610,0.25
20120611,0.25
20120612,0.25
20120613,0.25
20120614,0.25
20120615,0.25
20120616,0.25
20120617,0.25
20120618,0.25
20120619,0.25
20120620,0.25
20120621,0.25
20120622,0.25
20120623,0.25
20120624,0.25
20120625,0.25
20120626,0.25
20120627,0.25
20120628,0.25
20120629,0.25
20120630,0.25
20120701,0.25
20120702,0.25
20120703,0.25
20120704,0.25
20120705,0.25
20120706,0.25
20120707,0.25
20120708,0.25
20120709,0.25
20120710,0.25
20120711,0.25
20120712,0.25
20120713,0.25
20120714,0.25
20120715,0.25
20120716,0.25
20120717,0.25
20120718,0.25
20120719,0.25
20120720,0.25
20120721,0.25
20120722,0.25
20120723,0.25
20120724,0.25
20120725,0.25
20120726,0.25
20120727,0.25
20120728,0.25
20120729,0.25
20120730,0.25
20120731,0.25
20120801,0.25
20120802,0.25
20120803,0.25
20120804,0.25
20120805,0.25
20120806,0.25
20120807,0.25
20120808,0.25
20120809,0.25
20120810,0.25
20120811,0.25
20120812,0.25
20120813,0.25
20120814,0.25
20120815,0.25
20120816,0.25
20120817,0.25
20120818,0.25
20120819,0.25
20120820,0.25
20120821,0.25
20120822,0.25
20120823,0.25
20120824,0.25
20120825,0.25
20120826,0.25
20120827,0.25
20120828,0.25
20120829,0.25
20120830,0.25
20120831,0.25
20120901,0.25
20120902,0.25
20120903,0.25
20120904,0.25
20120905,0.25
20120906,0.25
20120907,0.25
20120908,0.25
20120909,0.25
20120910,0.25
20120911,0.25
20120912,0.25
20120913,0.25
20120914,0.25
20120915,0.25
20120916,0.25
20120917,0.25
20120918,0.25
20120919,0.25
20120920,0.25
20120921,0.25
20120922,0.25
20120923,0.25
20120924,0.25
20120925,0.25
20120926,0.25
20120927,0.25
20120928,0.25
20120929,0.25
20120930,0.25
20121001,0.25
20121002,0.25
20121003,0.25
20121004,0.25
20121005,0.25
20121006,0.25
20121007,0.25
20121008,0.25
20121009,0.25
20121010,0.25
20121011,0.25
20121012,0.25
20121013,0.25
20121014,0.25
20121015,0.25
20121016,0.25
20121017,0.25
20121018,0.25
20121019,0.25
20121020,0.25
20121021,0.25
20121022,0.25
20121023,0.25
20121024,0.25
20121025,0.25
20121026,0.25
20121027,0.25
20121028,0.25
20121029,0.25
20121030,0.25
20121031,0.25
20121101,0.25
20121102,0.25
20121103,0.25
20121104,0.25
20121105,0.25
20121106,0.25
20121107,0.25
20121108,0.25
20121109,0.25
20121110,0.25
20121111,0.25
20121112,0.25
20121113,0.25
20121114,0.25
20121115,0.25
20121116,0.25
20121117,0.25
20121118,0.25
20121119,0.25
20121120,0.25
20121121,0.25
20121122,0.25
20121123,0.25
20121124,0.25
20121125,0.25
20121126,0.25
20121127,0.25
20121128,0.25
20121129,0.25
20121130,0.25
20121201,0.25
20121202,0.25
20121203,0.25
20121204,0.25
20121205,0.25
20121206,0.25
20121207,0.25
20121208,0.25
20121209,0.25
20121210,0.25
20121211,0.25
20121212,0.25
20121213,0.25
20121214,0.25
20121215,0.25
20121216,0.25
20121217,0.25
20121218,0.25
20121219,0.25
20121220,0.25
20121221,0.25
20121222,0.25
20121223,0.25
20121224,0.25
20121225,0.25
20121226,0.25
20121227,0.25
20121228,0.25
20121229,0.25
20121230,0.25
20121231,0.25
20130101,0.25
20130102,0.25
20130103,0.25
20130104,0.25
20130105,0.25
20130106,0.25
20130107,0.25
20130108,0.25
20130109,0.25
20130110,0.25
20130111,0.25
20130112,0.25
20130113,0.25
20130114,0.25
20130115,0.25
20130116,0.25
20130117,0.25
20130118,0.25
20130119,0.25
20130120,0.25
20130121,0.25
20130122,0.25
20130123,0.25
20130124,0.25
20130125,0.25
20130126,0.25
20130127,0.25
20130128,0.25
20130129,0.25
20130130,0.25
20130131,0.25
20130201,0.25
20130202,0.25
20130203,0.25
20130204,0.25
20130205,0.25
20130206,0.25
20130207,0.25
20130208,0.25
20130209,0.25
20130210,0.25
20130211,0.25
20130212,0.25
20130213,0.25
20130214,0.25
20130215,0.25
20130216,0.25
20130217,0.25
20130218,0.25
20130219,0.25
20130220,0.25
20130221,0.25
20130222,0.25
20130223,0.25
20130224,0.25
20130225,0.25
20130226,0.25
20130227,0.25
20130228,0.25
20130301,0.25
20130302,0.25
20130303,0.25
20130304,0.25
20130305,0.25
20130306,0.25
20130307,0.25
20130308,0.25
20130309,0.25
20130310,0.25
20130311,0.25
20130312,0.25
20130313,0.25
20130314,0.25
20130315,0.25
20130316,0.25
20130317,0.25
20130318,0.25
20130319,0.25
20130320,0.25
20130321,0.25
20130322,0.25
20130323,0.25
20130324,0.25
20130325,0.25
20130326,0.25
20130327,0.25
20130328,0.25
20130329,0.25
20130330,0.25
20130331,0.25
20130401,0.25
20130402,0.25
20130403,0.25
20130404,0.25
20130405,0.25
20130406,0.25
20130407,0.25
20130408,0.25
20130409,0.25
20130410,0.25
20130411,0.25
20130412,0.25
20130413,0.25
20130414,0.25
20130415,0.25
20130416,0.25
20130417,0.25
20130418,0.25
20130419,0.25
20130420,0.25
20130421,0.25
20130422,0.25
20130423,0.25
20130424,0.25
20130425,0.25
20130426,0.25
20130427,0.25
20130428,0.25
20130429,0.25
20130430,0.25
20130501,0.25
20130502,0.25
20130503,0.25
20130504,0.25
20130505,0.25
20130506,0.25
20130507,0.25
20130508,0.25
20130509,0.25
20130510,0.25
20130511,0.25
20130512,0.25
20130513,0.25
20130514,0.25
20130515,0.25
20130516,0.25
20130517,0.25
20130518,0.25
20130519,0.25
20130520,0.25
20130521,0.25
20130522,0.25
20130523,0.25
20130524,0.25
20130525,0.25
20130526,0.25
20130527,0.25
20130528,0.25
20130529,0.25
20130530,0.25
20130531,0.25
20130601,0.25
20130602,0.25
20130603,0.25
20130604,0.25
20130605,0.25
20130606,0.25
20130607,0.25
20130608,0.25
20130609,0.25
20130610,0.25
20130611,0.25
20130612,0.25
20130613,0.25
20130614,0.25
20130615,0.25
20130616,0.25
20130617,0.25
20130618,0.25
20130619,0.25
20130620,0.25
20130621,0.25
20130622,0.25
20130623,0.25
20130624,0.25
20130625,0.25
20130626,0.25
20130627,0.25
20130628,0.25
20130629,0.25
20130630,0.25
20130701,0.25
20130702,0.25
20130703,0.25
20130704,0.25
20130705,0.25
20130706,0.25
20130707,0.25
20130708,0.25
20130709,0.25
20130710,0.25
20130711,0.25
20130712,0.25
20130713,0.25
20130714,0.25
20130715,0.25
20130716,0.25
20130717,0.25
20130718,0.25
20130719,0.25
20130720,0.25
20130721,0.25
20130722,0.25
20130723,0.25
20130724,0.25
20130725,0.25
20130726,0.25
20130727,0.25
20130728,0.25
20130729,0.25
20130730,0.25
20130731,0.25
20130801,0.25
20130802,0.25
20130803,0.25
20130804,0.25
20130805,0.25
20130806,0.25
20130807,0.25
20130808,0.25
20130809,0.25
20130810,0.25
20130811,0.25
20130812,0.25
20130813,0.25
20130814,0.25
20130815,0.25
20130816,0.25
20130817,0.25
20130818,0.25
20130819,0.25
20130820,0.25
20130821,0.25
20130822,0.25
20130823,0.25
20130824,0.25
20130825,0.25
20130826,0.25
20130827,0.25
20130828,0.25
20130829,0.25
20130830,0.25
20130831,0.25
20130901,0.25
20130902,0.25
20130903,0.25
20130904,0.25
20130905,0.25
20130906,0.25
20130907,0.25
20130908,0.25
20130909,0.25
20130910,0.25
20130911,0.25
20130912,0.25
20130913,0.25
20130914,0.25
20130915,0.25
20130916,0.25
20130917,0.25
20130918,0.25
20130919,0.25
20130920,0.25
20130921,0.25
20130922,0.25
20130923,0.25
20130924,0.25
20130925,0.25
20130926,0.25
