Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1,Stack
nn_40_40,5,3,0.882882883,0.025481325,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.291291291,0.234234234,0.742424242,0.694017094,0.698412698,TRUE
nn_40_40,10,3,0.873873874,0.033708625,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.27027027,0.297297297,0.902777778,0.664141414,0.745410628,TRUE
nn_40_40,15,3,0.81981982,0.070937008,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.255255255,0.342342342,0.843915344,0.65,0.718612368,TRUE
nn_40_40,20,3,0.882882883,0.012740663,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.312312312,0.171171171,0.618518519,0.769444444,0.681481481,TRUE
nn_40_40,30,3,0.855855856,0.033708625,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.261261261,0.324324324,0.828282828,0.755633256,0.773609107,TRUE
nn_40_40,40,3,0.891891892,0.04413495,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.243243243,0.378378378,0.931746032,0.777899878,0.831746032,TRUE
nn_40_40,60,3,0.828828829,0.045937113,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.3003003,0.207207207,0.558275058,0.875,0.681481481,TRUE
nn_40_40,80,3,0.828828829,0.070937008,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.288288288,0.243243243,0.85,0.573412698,0.610984848,TRUE
nn_40_40_40,1,3,0.783783784,0.079565413,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.27027027,0.297297297,0.71031746,0.48538961,0.566081871,TRUE
nn_40_40_40,2,3,0.747747748,0.055535261,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.282282282,0.261261261,0.659259259,0.607407407,0.525021645,TRUE
nn_40_40_40,3,3,0.792792793,0.070937008,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.273273273,0.288288288,0.871794872,0.442002442,0.538333333,TRUE
nn_40_40_40,5,3,0.900900901,0.063703314,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.282282282,0.261261261,0.933333333,0.683333333,0.765775401,TRUE
nn_40_40_40,10,3,0.864864865,0.022067475,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.282282282,0.261261261,0.805555556,0.589285714,0.676323676,TRUE
nn_40_40_40,15,3,0.846846847,0.012740663,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.27027027,0.297297297,0.81547619,0.599206349,0.684679089,TRUE
nn_40_40_40,20,3,0.855855856,0.045937113,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.276276276,0.279279279,0.82010582,0.621794872,0.70516934,TRUE
nn_40_40_40,30,3,0.837837838,0,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.276276276,0.279279279,0.717541718,0.668331668,0.682900433,TRUE
nn_40_40_40,40,3,0.846846847,0.033708625,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.273273273,0.288288288,0.740740741,0.813852814,0.745299145,TRUE
nn_40_40_40,60,3,0.747747748,0.055535261,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.285285285,0.252252252,0.695906433,0.437037037,0.414252414,TRUE
nn_40_40_40,80,3,0.756756757,0.058385051,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.282282282,0.261261261,0.807017544,0.461279461,0.454545455,TRUE
nn_80,1,3,0.81981982,0.012740663,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.288288288,0.243243243,0.5,0.36026936,0.412698413,TRUE
nn_80,2,3,0.864864865,0.066202425,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.282282282,0.261261261,0.809116809,0.737373737,0.743711626,TRUE
nn_80,3,3,0.765765766,0.06741725,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.258258258,0.333333333,1,0.301515152,0.452777778,TRUE
nn_80,5,3,0.828828829,0.033708625,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.294294294,0.225225225,0.716666667,0.40952381,0.514652015,TRUE
nn_80,10,3,0.882882883,0.012740663,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.273273273,0.288288288,1,0.591750842,0.742968532,TRUE
nn_80,15,3,0.900900901,0.025481325,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.3003003,0.207207207,0.726010101,0.884259259,0.786790506,TRUE
nn_80,20,3,0.81981982,0.06741725,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.264264264,0.315315315,0.785714286,0.577777778,0.65007215,TRUE
nn_80,30,3,0.873873874,0.045937113,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.282282282,0.261261261,0.767592593,0.744949495,0.746031746,TRUE
nn_80,40,3,0.900900901,0.045937113,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.276276276,0.279279279,0.825252525,0.797979798,0.810966811,TRUE
nn_80,60,3,0.855855856,0.045937113,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.267267267,0.306306306,0.775757576,0.798834499,0.772279315,TRUE
nn_80,80,3,0.738738739,0.025481325,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.249249249,0.36036036,0.725438596,0.669230769,0.619535556,TRUE
nn_20_10_5,1,3,0.765765766,0.063703314,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.267267267,0.306306306,0.916666667,0.277777778,0.418803419,TRUE
nn_20_10_5,2,3,0.810810811,0.101125875,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.279279279,0.27027027,0.666666667,0.333333333,0.433333333,TRUE
nn_20_10_5,3,3,0.900900901,0.045937113,148,0.75,complex,2/2/2000,1/9/2019,speeches:statements:minutes,0.288288288,0.243243243,0.939393939,0.646153846,0.723809524,TRUE
