Model Name,NGram,Niter,mean(acc),std(acc),N,PctTrain,clean,start,end,Data Sets,TrainP,TestP,Prec,Recall,F1
logistic_lasso,2:2,16,0.8669871794871795,0.03103352040230303,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2895021645021645,0.296474358974359,0.7780179641503298,0.7878361834384263,0.7784612259039811
Naive Bayes,2:2,16,0.8052884615384615,0.03716255969649111,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2895021645021645,0.296474358974359,0.6805882893168362,0.6597611406742852,0.666729274530973
svm,2:2,17,0.8582202111613877,0.03969139477206868,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2880061115355233,0.30090497737556565,0.7973691101286257,0.713900105433128,0.7449988579290219
logistic,2:2,17,0.8687782805429864,0.03449350415091788,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2880061115355233,0.30090497737556565,0.8308358513341966,0.7110623013714634,0.7601698514728185
logistic_lasso,2:2,17,0.8695324283559577,0.029246937299646038,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2880061115355233,0.30090497737556565,0.7984747378581308,0.7636264284278426,0.7766061308171436
Naive Bayes,2:2,17,0.8076923076923077,0.04936068830151906,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2880061115355233,0.30090497737556565,0.6899193442529175,0.6843396805680542,0.6787089508704971
svm,2:2,18,0.8668091168091169,0.03173314730761462,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2869167869167869,0.3041310541310541,0.8102345305189452,0.7460746072302137,0.7703743730873486
logistic,2:2,18,0.8710826210826211,0.027187086444433503,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2869167869167869,0.3041310541310541,0.8287061266462374,0.7328408867596511,0.7728273200705467
logistic_lasso,2:2,18,0.8974358974358974,0.020495006509883437,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2869167869167869,0.3041310541310541,0.8415093248503298,0.8165160743993696,0.8270410978479827
Naive Bayes,2:2,18,0.8283475783475783,0.029028039704152173,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.2869167869167869,0.3041310541310541,0.745150137739764,0.6817373159936089,0.7042099811176966
svm,2:2,19,0.8582995951417004,0.03565410206106048,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28320802005012535,0.31511470985155193,0.8006030667357898,0.7463463482861689,0.7666193788266625
logistic,2:2,19,0.852901484480432,0.03611089921797477,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28320802005012535,0.31511470985155193,0.8119100228245044,0.703508049490924,0.7487590629507281
logistic_lasso,2:2,19,0.8697705802968961,0.028595978543072997,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28320802005012535,0.31511470985155193,0.8206555187921432,0.7585334342557344,0.783938516903445
Naive Bayes,2:2,19,0.8056680161943321,0.0434790922903833,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.28320802005012535,0.31511470985155193,0.7166500043539085,0.6472439029820738,0.67533788346212
svm,2:2,20,0.8564102564102564,0.030230323391157946,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.287012987012987,0.3038461538461539,0.8103952832301534,0.6956746558471478,0.7441764007579622
logistic,2:2,20,0.8589743589743589,0.037597123842603025,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.287012987012987,0.3038461538461539,0.8238897209601544,0.6899887065307638,0.7474301587821519
logistic_lasso,2:2,20,0.8903846153846156,0.033302500532975746,309,0.75,complex,02/02/2000,01/09/2019,statements:minutes,0.287012987012987,0.3038461538461539,0.8447618762479305,0.7895872794014818,0.8117158670895364
